등록번호,청구기호,서명,저자,발행자,발행년,가격
BRP000454071,331.23-애233ㄴ,나이듦에 관하여,루이즈 애런슨 지음 ; 최가영 옮김,Being:로크미디어,2020,"28,000"
BRP000454072,340.99-김73ㄴ,내 아버지의 꿈 : 칠순 기자 아들이 전하는 40대 부총리 김학렬 이야기,김정수 지음,Denstory:알피스페이스,2020,"18,000"
BRP000454074,325.211-골228ㄴ,내_일을 쓰는 여자,"마셜 골드스미스,샐리 헬게슨 지음 ; 정태희,윤혜리 옮김",에이트 포인트,2020,"15,000"
BRP000454075,325.211-홍53ㄴ,내게 유리한 판을 만들라 : 경쟁의 낡은 원칙 깨기,홍선표 지음,시크릿하우스,2020,"16,000"
BRP000454076,321.521-노77ㄴ,노동체제 변동과 한국 국가의 노동정책 : 2003~18,노중기 지음,후마니타스,2020,"15,000"
BRP000454077,375.1269-놀69,(개정 누리과정에 기초한) 놀이지도=Play and early childhood education,"최석란,이슬기,김현미,박지원,정은주 지음",공동체,2020,"19,000"
BRP000454078,321.329-김94ㅇ,(누구나 쉽게 따라하는) 인터넷 마케팅 : 중개마케팅에 대한 이해를 바탕으로 한 각종 SNS의 활용법,김혜경 지음,랜드프로,2020,"15,000"
BRP000454079,370.4-임59ㄴ,느리더라도 천천히 제대로 함께가는 학교,임실대리초등학교 학교공동체 지음,기역,2020,"25,000"
BRP000454080,375.204-박79ㄷ,다시 1학년 담임이 된다면 : 1학년 수업살이,박진환 지음,에듀니티,2020,"16,000"
BRP000454081,337.2-손98ㄷ,"다시, 쓰는, 세계 : 페미니즘이 만든 순간들",손희정 지음,오월의봄,2020,"16,500"
BRP000454082,340-서68ㅌ,(다음 세대를 위한) 통일 안내서,서의동 지음 ; 김소희 그림,너머학교,2020,"15,500"
BRP000454084,340.4-정817ㄷ,"당직자가 정치를 바꾼다 : 정춘생, 너는 계획이 다 있었구나!",정춘생 지음,바른기록,2020,"13,000"
BRP000454085,818-쑬221ㄷ=2,대기업 때려치우고 동네 북카페 차렸습니다,쑬딴 지음,잇콘,2020,"13,500"
BRP000454086,325.211-카213ㅇ,(데일 카네기) 인간관계론 ＆ 자기관리론 : 워런 버핏이 가장 애독한 처세술 책,데일 카네기 지음 ; 이문필 옮김,베이직북스,2020,"12,800"
BRP000454087,320-보67ㄷ,도덕경제학 : 왜 경제적 인센티브는 선한 시민을 대체할 수 없는가,"새뮤얼 보울스 지음 ; 박용진,전용범,최정규 옮김",흐름출판,2020,"18,000"
BRP000454088,327.07-사821ㄷ,돈에 강한 아이로 키우는 법 : 초등 6년 돈 공부가 아이의 평생을 결정한다,사카이 레오 지음 ; 최말숙 옮김,포레스트북스,2020,"13,800"
BRP000454089,327.04-성67ㄷ,돈을 아는 아이는 꾸는 꿈이 다르다,성유미 지음,잇콘,2020,"13,500"
BRP000454090,321.97-박95ㄷ,디레버리징=Deleveraging : 바젤3 세번째 이야기 : 2021~2024 수도권 파산과 경매의 시대에 관하여,박홍기 지음,좋은땅,2020,"20,000"
BRP000454091,004.586-류79ㄸ,"딱, 하루 배워서 블로그로 투잡하자! : 나는 블로그로 투잡한다",류진이 지음,T.W.I.G(티더블유아이지),2020,"15,800"
BRP000454092,331-주94ㄸ,똑똑한 이상한 꿈틀대는 뉴미디어,주형일 지음,우리학교,2020,"14,000"
BRP000454093,325.211-루839,(흔들리지 않고 끝까지 계속하게 만드는) 루틴의 힘,"댄 애리얼리,그레첸 루빈,세스 고딘 외 지음 ; 조슬린 K. 글라이 엮음 ; 정지호 옮김",부키,2020,"15,000"
BRP000454094,325.24-콜235ㄹ,리부트 : 리더를 위한 회복력 수업,"제리 콜로나 지음 ; 이수인,엄윤미 옮김",어크로스,2020,"16,000"
BRP000454095,331-간221ㅁ,마을의 진화 : 산골 마을 가미야마에서 만난 미래,"간다 세이지 지음 ; 류석진,윤정구,조희정 [공]옮김",반비,2020,"18,000"
BRP000454096,325.1-김64ㅁ,멀티팩터 : 노력으로 성공했다는 거짓말,김영준 지음,스마트북스,2020,"16,800"
BRP000454097,337.2-위839ㅁ=2,모니크 위티그의 스트레이트 마인드 : 이성애 제도에 대한 전복적 시선,모니크 위티그 지음 ; 허윤 옮김,행성비,2020,"17,000"
BRP000454098,331.5412-황64ㅁ,모두의 혁신 : 4차 산업혁명 시대의 대한민국 생존전략,황영헌 지음,비전C＆F,2020,"14,000"
BRP000454099,325.581-바228ㅁ=2,무엇을 놓친 걸까 : 사람 심리에만 집착하고 뇌과학 따위는 무시할 때 마케팅이 놓치는 것들,필 바든 지음 ; 이현주 옮김,사이,2020,"18,500"
BRP000454100,325.211-최73ㅁ,(생각만 하다 그만두는 당신을 위한) 무엇이든 시작법,최정우 지음,홍익출판사,2020,"14,800"
BRP000454101,340.942-미54ㅁ,미국은 왜 복지국가 만들기에 실패했나 : 조세정치와 미국 자유주의의 한계,몰리 미셸모어 지음 ; 강병익 옮김,페이퍼로드,2020,"18,000"
BRP000454102,349.42012-미77,미중 전략적 경쟁 : 무엇이 문제이고 어떻게 풀어야 하나,"이관세,박원곤,김동엽,이왕휘,최지현,이상만,조성렬,김한권,이혜정 지음",페이퍼로드,2020,"20,000"
BRP000454103,370.8-민77,민주학교란 무엇인가 : 민주시민 교육과정에서 민주적 학교문화까지,"이대성,이병희,이지명,이진희,최종철,홍석노 지음",교육과실천,2020,"17,000"
BRP000454104,327.856-삼53ㅂ,"배당왕 : 배신을 모르는 그들, 미국 배당주 TOP 30",삼성증권 리서치센터 지음,미래의창,2020,"13,000"
BRP000454105,331-권72ㅂ,별난 사회 선생님의 수상한 미래 수업 : 내리막길을 거슬러 살아남을 10대를 위한 필수 지침서!,권재원 지음,우리학교,2019,"14,000"
BRP000454106,556.11-이73ㅂ,"볼보 그리는 남자 : 평범한 공대생, 베스트셀러 자동차 디자이너가 되다",이정현 지음,매일경제신문사:매경출판,2020,"15,000"
BRP000454107,332.62-지833ㅂ,부의 해부학,라이너 지텔만 지음 ; 김나연 옮김,Tornado(토네이도),2020,"17,000"
BRP000454108,340.911-김225ㅂ,북핵 포커게임=North Korea nuclear poker game : 한반도 판을 흔들다,"김동욱,박용한 저",늘품플러스,2020,"15,000"
BRP000454109,338.51-웹212ㅅ,사별을 경험한 아이들과 함께하기 : 실천가들을 위한 지침서,낸시 보이드 웹 엮음 ; 차유림 옮김,나눔의집,2020,"22,000"
BRP000454110,325.21-길61ㅅ,(본업을 그만두지 않으면서 부업으로 돈 버는) 사이드 프로젝트 100,크리스 길아보 지음 ; 신솔잎 옮김,더퀘스트:길벗,2020,"19,000"
BRP000454111,321.5-김51ㅁ,(삶 속의) 민주주의 이야기,김상봉 지음,한결노동문제연구소,2020,"14,000"
BRP000454112,326.1098-송17ㅅ,상권은 매출이다 : 부동산이 아니라 손님을 보는 상권분석 이야기,송규봉 지음,북스톤,2020,"15,000"
BRP000454113,344-손53ㅌ,(새내기 주권자를 위한) 투표의 지혜 : 첫 선거의 설렘이 민주주의 성숙으로,손석춘 글,철수와영희,2020,"14,000"
BRP000454114,331.16-게41ㅅ,새로운 대중의 탄생 : 흩어진 개인은 어떻게 대중이라는 권력이 되었는가,"군터 게바우어,스벤 뤼커 지음 ; 염정용 옮김",21세기북스:북이십일,2020,"18,000"
BRP000454115,325.1-미91ㅅ,생각을 비즈니스로 연결하는 힘 : 기획자를 위한 아이디어 발상법,미하라 고지 지음 ; 장인주 옮김,북카라반,2020,"13,000"
BRP000454116,373.4-김94ㅅ,서울대 합격생 엄마표 공부법 : 서울대 합격생 엄마들의 입시 성공 노하우 전격 공개,"김혜영,장광원 지음",이화북스,2020,"15,000"
BRP000454117,344.5-키823ㅅ,선거에서 이기는 법,퀸투스 툴리우스 키케로 지음 ; 필립 프리먼 옮김 ; 매일경제 정치부 해제,매일경제신문사,2020,"13,500"
BRP000454118,325.21-이73ㅊ,(성공적인 사회생활을 위한) 취창업 준비 실무,"이정아,김은화 공저",어가,2020,"15,000"
BRP000454119,370.9236-정14ㅅ,세상에서 제일 우울한 동네 핀란드가 천국을 만드는 법 : 어느 저널리스트의 ‘핀란드 10년 관찰기’,정경화 지음,틈새책방,2020,"14,800"
BRP000454120,325.581-윤832ㅅ,"소비 수업 : 우리는 왜 소비하고, 어떻게 소비하며, 무엇을 소비하는가?",윤태영 지음,문예출판사,2020,"18,000"
BRP000454121,304-성69ㅅ,소사이어티 없는 카페 : 어느 글쟁이의 소소한 기록들,성일권 지음,르몽드코리아,2020,"14,000"
BRP000454122,375.32-이75ㅅ,"(아이디어 끝판왕! 이종대왕의) 수업, 놀이를 제대로! 만나다 : 모든 교과에 지금 바로 적용 가능한 수업 놀이",이종혁 지음,미래와경영,2020,"20,000"
BRP000454123,378.9-윤95ㅂ,(쉽게 배우고 익히는) 부모교육,"윤호열,김영숙 지음",교육과학사,2020,"17,000"
BRP000454124,181.3-와69ㅅ,슈퍼 씽킹 : 모든 결정의 공식 : 당신의 삶을 성공으로 이끌어줄 슈퍼 사고법,"가브리엘 와인버그,로런 매캔 지음 ; 김효정 옮김",까치:까치글방,2020,"19,000"
BRP000454125,325.211-실239ㅅ,스무 살에 알았더라면 좋았을 것들 : 스탠퍼드 대학 최고의 인생 설계 강의,티나 실리그 지음 ; 이수경 옮김,웅진지식하우스:웅진씽크빅,2020,"16,000"
BRP000454126,370.4-한79ㅅ,스스로 서서 서로를 살리는 학교,한지혜 ; 김민경 ; 이은경 [공]지음,기역,2020,"15,000"
BRP000454127,325.2112-밴223ㅅ,시간 전쟁 : 많은 일을 하고도 여유로운 사람들의 비밀,로라 밴더캠 지음 ; 이영래 옮김,더퀘스트,2020,"16,000"
BRP000454128,325.211-이14ㅅ,시작만 있고 끝이 없는 당신을 위한 책,이경수 지음,다연,2020,"15,000"
BRP000454129,325.1-구66ㅅ,"신의 직장의 최강 팀 전략 : 직원의 성장, 리더의 성과, 회사의 성공이 펼쳐지는 곳",구와바라 테루야 지음 ; 김슬기 옮김,유노북스,2020,"14,000"
BRP000454130,342-김16ㅅ,"십 대, 인권의 주인공이 되다!",김광민 지음,팜파스,2020,"13,000"
BRP000454131,520.99-아223ㄴ,(21세기 아프리카를 설계하는 디자이너) 아킨우미 아데시나 : 21세기 아프리카를 설계하는 디자이너,놀이터 지음,섬앤섬,2020,"10,000"
BRP000454132,320.15-다821ㅇ,애덤 스미스=Adam Smith : 도덕을 추구했던 경제학자,다카시마 젠야 지음 ; 김동환 옮김,AK,2020,"11,800"
BRP000454133,370.18-볼233ㅇ,언락=Unlock : 내 안의 가능성을 깨우는 6가지 법칙,조 볼러 지음 ; 이경식 옮김,다산북스,2020,"16,000"
BRP000454134,370.4-김231ㅇ,"엄마, 나 고등학교 자퇴할래요",김라영 지음,이담 Books:한국학술정보,2020,"15,000"
BRP000454135,331.4-미58ㅇ,에코페미니즘,"마리아 미스,반다나 시바 지음 ; 손덕수,이난아 옮김",창비,2020,"25,000"
BRP000454136,373-유219ㅇ,연고티비 공부법 : 필요할 때 골라 보는 연고대생 공부 꿀팁,유니브 지음,위즈덤하우스:위즈덤하우스 미디어그룹,2020,"15,000"
BRP000454137,373.2-송69ㅇ,와일드=Wild : 송인섭 교수의 AI 시대 감성 창조 교육법,송인섭 지음,다산에듀:다산북스,2020,"16,000"
BRP000454138,325.21-이57ㅇ,"우리는 미래를 만든다 : 전 세계가 주목하는 스타트업의 성지 한국의 실리콘밸리, 판교 대탐사","이수기,박민제,김정민 지음",라곰,2020,"15,800"
BRP000454139,330.911-김217ㅇ,우리의 불행은 당연하지 않습니다 : 대한민국의 불편한 진실을 직시하다,김누리 지음,해냄,2020,"16,500"
BRP000454140,818-김94ㅇ,우연한 소비는 없다 : 장바구니 터지게 만드는 MD의 빅픽쳐,김현호 글,부크럼,2020,"12,500"
BRP000454141,373.4-영58ㅇ=2,"울트라러닝, 세계 0.1％가 지식을 얻는 비밀",스콧 영 지음 ; 이한이 옮김,비지니스북스,2020,"16,000"
BRP000454142,327.04-송58ㅇ,월급이 사라지는 여자 월급이 불어나는 여자 : 월급으로 시작하는 2030 직장인들의 좌충우돌 재테크 정복기,송승용 글 ; Yuho 카툰,트로이목마,2020,"15,800"
BRP000454143,325.1-킬43ㅇ,위코노미 : 돈도 벌고 세상도 바꾸는 밀레니얼 경제 공식,"크레이그 킬버거,홀리 브랜슨,마크 킬버거 지음 ; 이영진 옮김",한빛비즈,2020,"18,000"
BRP000454144,321.54-김225ㅇ,유령들 : 어느 대학 청소노동자 이야기 : 르포,김동수 지음,삶창,2020,"14,000"
BRP000454145,375.144-유61,(문제해결력과 창의력을 지닌 주도적 유아를 위한) 유아 융합(STEAM)교육,"곽영숙,김규리,조민희,최정현,황현지 공저",어가,2020,"17,000"
BRP000454147,325.5-피59ㅇ,이 광고는 망했어요 : 마케터 현실 카툰 우리는 진짜 이렇게 일한답니다,톰 피시번 지음 ; 이은아 옮김,민음사,2020,"16,000"
BRP000454148,324.35-비78ㅇ,"이제는, 넥스트 가파=Next GAFA",닛케이 비즈니스 지음 ; 최예은 옮김,디 이니셔티브,2020,"19,800"
BRP000454149,471-이813ㅇ,인류의 종말은 어떻게 오는가 : 인류사회와 지구촌을 지켜라!,이철환 지음,Saevit(새빛):세이코리아,2020,"15,000"
BRP000454150,309.113-염75ㅇ,일본 관찰 30년 : 한국이 일본을 이기는 18가지 이유,염종순 지음,Tornado(토네이도),2020,"17,000"
BRP000454151,340.21-빌239ㅇ,일상적 국민주의,마이클 빌리그 지음 ; 유충현 옮김,그린비,2020,"27,000"
BRP000454152,340.99-만223ㅈ,자유를 향한 머나먼 길 : 넬슨 만델라 자서전,넬슨 만델라 지음 ; 김대중 옮김,두레,2020,"32,000"
BRP000454153,337.2-바222ㅈ,잘못된 길 : 1990년대 이후 래디컬 페미니즘 운동에 대한 비판적 성찰,"엘리자베트 바댕테르 지음 ; 나애리,조성애 옮김",필로소픽,2020,"14,500"
BRP000454154,329.4-장73ㅅ,(장제우의)세금수업 : 당신의 세금이 우리 모두의 삶을 책임진다면,장제우 지음,사이드웨이,2020,"15,000"
BRP000454155,335.5-핀813ㅈ,"재미란 무엇인가? : 일상에서의 일탈, 짜릿함, 즐거움, 흥분을 주는 재미의 사회학 : 재미있지 않는 것은 독이다","벤 핀첨 지음 ; 김기홍,심선향 옮김",팬덤북스,2020,"16,000"
BRP000454156,360.04-안813ㅈ,전관예우 보고서 : 법조계의 투명가면,안천식 지음,옹두리,2020,"13,000"
BRP000454157,325.48-유64ㅈ,정리의 스킬 : 업무 능력을 열 배 향상시키는 직장생활 노하우!,유영택 지음,가나북스,2020,"14,000"
BRP000454158,383.8-정66ㅅ,(정용옥의) 세계전래놀이 다문화놀이,정용옥 지음,일일사,2020,"28,000"
BRP000454159,340.911-이813ㅇ-2,정치가 내 삶을 바꿀 수 있을까? : 이철희의 정치 썰전. 2,이철희 지음,인물과사상사,2020,"14,000"
BRP000454160,688.09-오97ㅈ,주인공은 선을 넘는다 : 나와 당신의 존엄을 지키기 위한 11개의 시선,오후 지음,사우,2020,"16,500"
BRP000454161,327.87-권55ㅈ,주택청약의 정석 : 현직 분양소장이 알려주는 청약 100문 100답,권소혁 지음,한국경제신문i,2020,"16,000"
BRP000454162,325.19-이58ㅈ,중국 플랫폼의 행동 방식 : 세계 비즈니스 판도를 뒤바꿀 발칙한 전략과 혁신,이승훈 지음,와이즈베리,2020,"16,800"
BRP000454163,340.10912-오53ㅈ,중국문화와 덕치사상 : 중국 사회는 어떤 방향으로 나아갈까?,오석산 지음,인간사랑,2020,"32,000"
BRP000454164,331.9-베823ㅈ,"증거의 오류 : 데이터, 증거, 이론의 구조를 파헤친 사회학 거장의 탐구 보고서",하워드 S. 베커 지음 ; 서정아 옮김,책세상,2020,"16,000"
BRP000454165,334.24-셱833ㅈ,"지옥에서 온 여왕 : 남자 도살자, 벨 거너스",해럴드 셱터 지음 ; 김부민 옮김,Alma(알마),2020,"17,000"
BRP000454166,335.8-이94ㅊ,"착취도시, 서울 : 당신이 모르는 도시의 미궁에 대한 탐색",이혜미 지음,글항아리,2020,"13,000"
BRP000454167,327.8-서77ㅌ,투자자의 인문학 서재 : 투자의 고수는 무엇을 공부하며 어디에서 답을 찾는가,서준식 지음,한스미디어,2020,"16,800"
BRP000454168,325.24-고229ㅌ,트라이브즈=Tribes : 새로운 부족의 탄생이 당신에게 성공의 기회가 되는 이유,세스 고딘 지음 ; 유하늘 옮김,시목:북로그컴퍼니,2020,"15,000"
BRP000454169,325.211-박811ㅍ,팔리는 나를 만들어 팝니다 : 영리한 자기 영업의 기술,박창선 지음,RHK(알에이치코리아),2020,"14,800"
BRP000454170,381.750911-김62ㅍ,"평양랭면, 멀리서 왔다고 하면 안 되갔구나 : 통일을 기대하게 하는 북한 음식 이야기",김양희 지음,폭스코너,2019,"16,000"
BRP000454171,334.224-다69ㅍ,포르노랜드 : 당신이 웃어넘긴 야동의 실체,게일 다인스 지음 ; 신혜빈 옮김,열다,2020,"20,000"
BRP000454172,598.1-장72ㅎ,"하루 5분, 엄마의 언어 자극 : 부모가 꼭 알아야 할 0~6세 연령별 아기 발달 정보와 언어 자극법",장재진 지음,카시오페아,2020,"15,000"
BRP000454173,370.13-오11ㅎ,(하버드 시대의 종말과) 학습 혁명,오강선 지음,클라우드나인,2020,"14,000"
BRP000454174,371-구225ㅎ,학교의 당연함을 버리다 : 고지마치 중학교의 학교개혁 프로젝트,구도 유이치 지음 ; 정문주 옮김,미래지향,2020,"14,000"
BRP000454175,321.97-윤77ㅎ,한 권으로 끝내는 디지털 경제 : 10개의 미래 키워드로 완성한 IT 비즈니스 입문서,윤준탁 지음,와이즈맵,2020,"18,000"
BRP000454176,320.911-박58ㅎ,한국 자본주의 역사 바로 알기,박승호 지음 ; 전국금속노동조합 기획,나름북스,2020,"15,000"
BRP000454177,600.13-박39ㅎ,한국의 도깨비 : 도깨비를 통해 본 한국의 시각문화,박미경 지음 ; 박미경 옮김,고려대학교 출판문화원,2020,"18,000"
BRP000454178,349.11013-한69,한일 관계 : 무엇이 문제이고 어떻게 풀어야 하나,"이관세,이경주,이원덕,조진구,정혜경,이지평,길윤형 지음",페이퍼로드,2020,"20,000"
BRP000454179,320.1-배228ㅎ,행동경제학,미셸 배들리 지음 ; 노승영 옮김,교유서가:교유당,2020,"14,000"
BRP000454180,389-오219ㅎ,휴머놀로지 : 42억 년 동안 인간과 생명은 어떻게 이어져왔을까?,루크 오닐 지음 ; 김정아 옮김,파우제,2020,"19,000"
BRP000454181,476.01-안94ㅈ,(갈라파고스에서 들려주는) 진화생물학 이야기 : Field notes on the Galapagos islands,"안현수,정지훈,김주희 글 ; Ellis I. Lee 사진",GIST press,2020,"19,000"
BRP000454182,420.12-크231ㄱ,거울 속의 물리학,로렌스 크라우스 지음 ; 곽영직 옮김,승산,2020,"20,000"
BRP000454183,485.16025-이16ㄱ,겨울눈 도감 : 4단계 분류법에 따라 겨울눈을 구별한다,"이광만,소경자 지음",나무와문화 연구소,2015,"28,000"
BRP000454184,400-이57ㄱ,(열두 가지 재료로 만든) 과학 샐러드,이수종 지음,윌링북스,2020,"15,000"
BRP000454185,420-퀴239ㄱ,과학이 어려운 딸에게 : 마리 퀴리가 딸에게 들려주는 과학 이야기,"마리 퀴리,이자벨 샤반 지음 ; 최연순 옮김",자음과모음,2020,"11,500"
BRP000454186,420-퀴239ㄱ=2,과학이 어려운 딸에게 : 마리 퀴리가 딸에게 들려주는 과학 이야기,"마리 퀴리,이자벨 샤반 지음 ; 최연순 옮김",자음과모음,2020,"11,500"
BRP000454187,475.3-곽72ㅅ,(곽재식의) 세균 박람회 : 지구에서 우주까지 40억 년 전부터 먼 미래까지 언제 어디서나 우리와 함께하는 그들의 이야기,곽재식 지음,김영사,2020,"16,800"
BRP000454188,456-유17ㄴ=2,(극지과학자가 들려주는)눈덩어리 지구 이야기,"유규철,이용일 지음",지식노마드,2019,"12,000"
BRP000454189,410-리43ㅁ,(길 위의 수학자를 위한) 무한 이야기 : 보통 사람들에게 수학을! 복잡한 세상을 푸는 수학적 사고법,릴리언 R. 리버 글 ; 휴 그레이 리버 그림 ; 김소정 옮김,궁리,2020,"16,000"
BRP000454190,410.4-이58ㄴ,"나는 수학으로 세상을 읽는다 : 경제전망, 스포츠 통계, 장바구니 계산까지 숫자 뒤에 숨어 있는 진짜 세상을 파악하는 수학적 사고법",롭 이스터웨이 지음 ; 고유경 옮김,반니,2020,"14,800"
BRP000454191,453-날59,날씨와 기상 : 날씨와 기상의 핵심을 한 권으로 마스터한다,[뉴턴프레스 편저] ; 강금희 ; 이세영 번역,아이뉴턴,2019,"18,000"
BRP000454192,410-최57ㄴ,내가 정말 알아야 할 수학은 초등학교에서 모두 배웠다,최수일 지음,비아북,2020,"15,000"
BRP000454196,499.746-곤225ㄴ,늑대와 야생의 개,"곤도 유키,사와이 세이이치 지음 ; 박유미 옮김",라의눈,2020,"29,000"
BRP000454197,408-아69ㄴ-14,단위 사전 : 다양한 단위를 완전히 학습한다!,[아이뉴턴 편집부 지음] ; 이세영 번역,아이뉴턴,2020,"8,500"
BRP000454198,411.7-김58ㅇ,(머리가 좋아지는) 암산법 : 누구나 10일 만에 배우는 빨리 계산하는 방법,김승태 지음,오르트,2020,"13,500"
BRP000454199,420-코818ㅁ,"물리, 춤을 만나다","에밀리 코츠,사라 데머스 지음 ; 오기영 옮김",북스힐,2019,"18,000"
BRP000454200,475-유39ㅁ,미생물 실험서 : 기초에서 임상까지 재미있게 따라하는,"유민,김병오,이혜영 공저",보문각,2020,"18,000"
BRP000454201,650.4-서39ㅁ,미술관에 간 물리학자 : 명화에서 찾은 물리학의 발견,서민아 지음,어바웃어북,2020,"18,000"
BRP000454202,475.54-최11ㅂ2,바이러스 쇼크=Virus shock : 인류 재앙의 실체 알아야 살아남는다,최강석 지음,매일경제신문사:매경출판,2020,"15,000"
BRP000454203,400-아238ㅂ,방구석 과학쇼 : 사소하고 유쾌한 생활 주변의 과학,"Helen Arney,Steve Mould 지음 ; 이경주 옮김",영진닷컴,2020,"15,000"
BRP000454204,401-존58ㅂ,복잡하지만 단순하게 : 복잡한 세상에도 패턴은 있다,닐 존슨 지음 ; 한국복잡계학회 옮김,바다출판사,2020,"18,000"
BRP000454205,498.0564-차69ㅅ,새는 건축가다 : 자연에서 발견한 가장 지적이고 우아한 건축 이야기,차이진원 글·그림 ; 박소정 옮김,현대지성,2020,"17,500"
BRP000454206,410-윤849ㅅ,(생각하는 논리) 수학게임,윤필수 저,버들미디어,2020,"12,000"
BRP000454207,472-김67ㅅ,선택된 자연 : 생물학이 사랑한 모델생물 이야기,김우재 지음,김영사,2020,"14,800"
BRP000454208,485.16-해239ㅅ,세상을 바꾼 경이로운 나무들,"크리스티나 해리슨,토니 커크햄 지음 ; 김경미 옮김",사람의무늬:성균관대학교 출판부,2020,"30,000"
BRP000454209,510.74-라831ㅁ,(세상을 바꿀)미래 의학 설명서 : 유전자 편집부터 바이오프린팅까지 내 몸을 바꾸는 의공학의 비밀,사라 라타 지음 ; 김시내 옮김,매직사이언스,2020,"13,500"
BRP000454210,511.5-매821ㅅ,슈퍼버그 : 보이지 않는 적과의 전쟁,맷 매카시 지음 ; 김미정 옮김,흐름,2020,"18,000"
BRP000454211,481.508-바238ㅅ,실은 나도 식물이 알고 싶었어 : 정원과 화분을 가꾸는 우리가 꼭 알아야 할 식물 이야기,안드레아스 바를라게 지음 ; 류동수 옮김,애플북스,2020,"16,800"
BRP000454212,410.7-아69ㅇ,(아임샘의) 엄마표 수학놀이 : 초등학교 입학 전에 잡아주는 수학의 기초,아임샘 지음,코쿤아우트,2020,"15,000"
BRP000454213,410-김77ㅇ,알수록 재미있는 수학자들,김주은 지음 ; 박구연 감수,Gbrain(지브레인),2020,"13,000"
BRP000454214,404-몽833ㅇ-1,"알아두면 피곤한 과학 지식. 1, 그래도 무식하게 죽지 말자!",마리옹 몽테뉴 글·그림 ; 이원희 옮김,작가정신,2020,"16,000"
BRP000454215,457.279-브237ㄱ,(완전히 새로운) 공룡의 역사 : 지구상 가장 찬란했던 진화와 멸종의 연대기,스티브 브루사테 지음 ; 양병찬 옮김,웅진지식하우스:웅진씽크빅,2020,"20,000"
BRP000454216,475.54-대91ㅇ,우리가 몰랐던 바이러스 이야기 : 알고 나면 우리와 가까운 바이러스의 세계,대한바이러스학회 지음,범문에듀케이션,2020,"15,000"
BRP000454217,476.01-후79ㅇ,"유감스러운 생물, 수컷 : 생물학으로 바라보는 남성의 진화와 멸종사 : 기생충 박사의 눈에 비친 안타까운 수컷의 세계!",후지타 고이치로 지음 ; 혜원 옮김,반니,2020,"13,800"
BRP000454218,484.85-키33ㅇ,"이끼와 함께 : 작지만 우아한 식물, 이끼가 전하는 지혜",로빈 월 키머러 지음 ; 하인해 옮김,눌와,2020,"13,800"
BRP000454219,484.85-키33ㅇ=2,"이끼와 함께 : 작지만 우아한 식물, 이끼가 전하는 지혜",로빈 월 키머러 지음 ; 하인해 옮김,눌와,2020,"13,800"
BRP000454220,414.1-애819ㅁ=2,(이해하는) 미적분 수업,데이비드 애치슨 지음 ; 김의석 옮김,바다출판사,2020,"14,800"
BRP000454221,409-곽64ㅇ,인류 문명과 함께 보는 과학의 역사,곽영직 지음,세창출판사,2020,"27,000"
BRP000454222,331.015-하31ㅇ,인생에도 수학처럼 답이 있다면 : 사회 현상을 이해하는 수학 모델 12,하마다 히로시 지음 ; 안동현 옮김,프리렉,2020,"18,000"
BRP000454223,513.97-콰33ㅇ2,인수공통 모든 전염병의 열쇠,데이비드 콰먼 지음 ; 강병철 옮김,꿈꿀자유 서울의학서적,2020,"30,000"
BRP000454224,471-사31ㅇ,(재밌어서 밤새 읽는) 인류 진화 이야기,사마키 다케오 지음 ; 서현주 옮김,더숲,2020,"12,000"
BRP000454225,471-사31ㅇ=2,(재밌어서 밤새 읽는) 인류 진화 이야기,사마키 다케오 지음 ; 서현주 옮김,더숲,2020,"12,000"
BRP000454226,003.54099-소219ㅈ,"저글러, 땜장이, 놀이꾼 디지털 세상을 설계하다 : 세상을 바꾼 기이한 천재의 놀이본능","지미 소니,로브 굿맨 지음 ; 양병찬 옮김",곰출판,2020,"22,000"
BRP000454227,568-도827ㅈ,전파는 위험하지 않은가 : 우려되는 인체에 대한 장해,도쿠마루 시노부 지음 ; 김기채 옮김,전파과학사,2020,"13,000"
BRP000454228,420.1-와69ㅈ,제3의 생각 : 우리는 이 우주를 얼마나 이해하고 있는가,스티븐 와인버그 지음 ; 안희정 옮김,더숲,2020,"17,000"
BRP000454229,421-오73ㅈ,중력 쫌 아는 10대 : 올 댓 중력 : 아인슈타인의 중력과 그 너머의 세상,오정근 글 ; 방상호 그림,풀빛,2020,"13,000"
BRP000454230,410-신79ㅈ,(하나하나 알기 쉽게) 중학 수학의 모든 것,신지영 지음,꿈결,2020,"14,800"
BRP000454231,476.01-김91ㅈ,진화론은 가상소설이다,김학충 지음,한국학술정보,2020,"18,000"
BRP000454232,498.66-정79ㅊ,"착한 펭귄 사나운 펭귄 이상한 펭귄 : 남위 74도, 펭귄의 길을 따라가다",정진우 지음,지식인하우스,2020,"13,800"
BRP000454233,427.623-오58ㅊ,초전도란 무엇인가 : 왜 일어나는가? 어떻게 사용하는가?,오쓰카 다이이치로 지음 ; 김병호 옮김,전파과학사,2020,"15,000"
BRP000454234,454-김53ㅋ,커피와 바다 : 알기 쉽게 풀어낸 바다의 상식,김성용 글·그림,자유아카데미,2019,"18,000"
BRP000454235,409-넘43ㅌ=2,"통념과 상식을 거스르는 과학사 : 뉴턴에서 멘델까지, 과학을 둘러싼 역사적 오해들","로널드 L. 넘버스,코스타스 캄푸러키스 엮음 ; 김무준 옮김",글항아리 사이언스,2019,"16,000"
